2026-04-04 17:27:13,349 INFO Loading SWE-bench Lite instance IDs...
2026-04-04 17:27:15,332 INFO Loaded 300 Lite instance IDs
2026-04-04 17:27:15,333 INFO Loading BM25 13K dataset (streaming)...
2026-04-04 17:27:17,871 INFO Filtering BM25 instances to SWE-bench Lite...
2026-04-04 17:27:20,818 INFO Found 300 matching instances in BM25 dataset
Running inference:  61%|██████▏   | 184/300 [42:25<17:05,  8.84s/it]2026-04-04 18:10:15,876 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:10:15,877 INFO [185/300] scikit-learn__scikit-learn-10297 - patch_len=5213, elapsed=29.1s
Running inference:  62%|██████▏   | 185/300 [42:55<28:37, 14.93s/it]2026-04-04 18:10:45,188 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:10:45,189 INFO [186/300] scikit-learn__scikit-learn-10508 - patch_len=6750, elapsed=29.3s
Running inference:  62%|██████▏   | 186/300 [43:24<36:34, 19.25s/it]2026-04-04 18:10:48,948 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:10:48,949 INFO [187/300] scikit-learn__scikit-learn-10949 - patch_len=797, elapsed=3.8s
Running inference:  62%|██████▏   | 187/300 [43:28<27:29, 14.60s/it]2026-04-04 18:10:56,604 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:10:56,605 INFO [188/300] scikit-learn__scikit-learn-11040 - patch_len=1203, elapsed=7.7s
Running inference:  63%|██████▎   | 188/300 [43:35<23:21, 12.52s/it]2026-04-04 18:11:37,868 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:11:37,869 INFO [189/300] scikit-learn__scikit-learn-11281 - patch_len=6050, elapsed=41.3s
Running inference:  63%|██████▎   | 189/300 [44:17<39:06, 21.14s/it]2026-04-04 18:11:46,699 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:11:46,700 INFO [190/300] scikit-learn__scikit-learn-12471 - patch_len=2148, elapsed=8.8s
Running inference:  63%|██████▎   | 190/300 [44:25<31:59, 17.45s/it]2026-04-04 18:11:49,015 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:11:49,016 INFO [191/300] scikit-learn__scikit-learn-13142 - patch_len=221, elapsed=2.3s
Running inference:  64%|██████▎   | 191/300 [44:28<23:27, 12.91s/it]2026-04-04 18:12:12,918 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:12,918 INFO [192/300] scikit-learn__scikit-learn-13241 - patch_len=5402, elapsed=23.9s
Running inference:  64%|██████▍   | 192/300 [44:52<29:10, 16.21s/it]2026-04-04 18:12:20,456 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:20,456 INFO [193/300] scikit-learn__scikit-learn-13439 - patch_len=1599, elapsed=7.5s
Running inference:  64%|██████▍   | 193/300 [44:59<24:15, 13.61s/it]2026-04-04 18:12:26,754 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:26,755 INFO [194/300] scikit-learn__scikit-learn-13496 - patch_len=1337, elapsed=6.3s
Running inference:  65%|██████▍   | 194/300 [45:05<20:09, 11.41s/it]2026-04-04 18:12:34,299 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:34,300 INFO [195/300] scikit-learn__scikit-learn-13497 - patch_len=1765, elapsed=7.5s
Running inference:  65%|██████▌   | 195/300 [45:13<17:56, 10.25s/it]2026-04-04 18:12:44,181 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:44,182 INFO [196/300] scikit-learn__scikit-learn-13584 - patch_len=1947, elapsed=9.9s
Running inference:  65%|██████▌   | 196/300 [45:23<17:34, 10.14s/it]2026-04-04 18:12:52,109 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:52,109 INFO [197/300] scikit-learn__scikit-learn-13779 - patch_len=1221, elapsed=7.9s
Running inference:  66%|██████▌   | 197/300 [45:31<16:16,  9.48s/it]2026-04-04 18:12:58,662 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:12:58,663 INFO [198/300] scikit-learn__scikit-learn-14087 - patch_len=1463, elapsed=6.6s
Running inference:  66%|██████▌   | 198/300 [45:37<14:37,  8.60s/it]2026-04-04 18:13:22,854 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:13:22,854 INFO [199/300] scikit-learn__scikit-learn-14092 - patch_len=5980, elapsed=24.2s
Running inference:  66%|██████▋   | 199/300 [46:02<22:21, 13.28s/it]2026-04-04 18:13:35,780 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:13:35,780 INFO [200/300] scikit-learn__scikit-learn-14894 - patch_len=2353, elapsed=12.9s
Running inference:  67%|██████▋   | 200/300 [46:14<21:57, 13.17s/it]2026-04-04 18:13:43,545 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:13:43,546 INFO [201/300] scikit-learn__scikit-learn-14983 - patch_len=1614, elapsed=7.8s
Running inference:  67%|██████▋   | 201/300 [46:22<19:03, 11.55s/it]2026-04-04 18:13:47,108 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:13:47,108 INFO [202/300] scikit-learn__scikit-learn-15512 - patch_len=639, elapsed=3.6s
Running inference:  67%|██████▋   | 202/300 [46:26<14:57,  9.15s/it]2026-04-04 18:14:05,617 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:14:05,618 INFO [203/300] scikit-learn__scikit-learn-15535 - patch_len=2287, elapsed=18.5s
Running inference:  68%|██████▊   | 203/300 [46:44<19:20, 11.96s/it]2026-04-04 18:15:13,667 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:15:13,668 INFO [204/300] scikit-learn__scikit-learn-25500 - patch_len=17278, elapsed=68.0s
Running inference:  68%|██████▊   | 204/300 [47:52<46:03, 28.79s/it]2026-04-04 18:15:18,668 INFO Retrying request to /chat/completions in 0.489629 seconds
2026-04-04 18:16:28,169 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:16:28,170 INFO [205/300] scikit-learn__scikit-learn-25570 - patch_len=19604, elapsed=74.5s
Running inference:  68%|██████▊   | 205/300 [49:07<1:07:17, 42.50s/it]2026-04-04 18:16:36,594 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:16:36,595 INFO [206/300] scikit-learn__scikit-learn-25638 - patch_len=2195, elapsed=8.4s
Running inference:  69%|██████▊   | 206/300 [49:15<50:34, 32.28s/it]  2026-04-04 18:16:57,857 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:16:57,857 INFO [207/300] scikit-learn__scikit-learn-25747 - patch_len=1973, elapsed=21.3s
Running inference:  69%|██████▉   | 207/300 [49:37<44:54, 28.97s/it]2026-04-04 18:17:05,269 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:17:05,269 INFO [208/300] sphinx-doc__sphinx-10325 - patch_len=1287, elapsed=7.4s
Running inference:  69%|██████▉   | 208/300 [49:44<34:30, 22.51s/it]2026-04-04 18:17:13,269 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:17:13,270 INFO [209/300] sphinx-doc__sphinx-10451 - patch_len=1261, elapsed=8.0s
Running inference:  70%|██████▉   | 209/300 [49:52<27:32, 18.15s/it]2026-04-04 18:17:25,268 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:17:25,268 INFO [210/300] sphinx-doc__sphinx-11445 - patch_len=2602, elapsed=12.0s
Running inference:  70%|███████   | 210/300 [50:04<24:27, 16.31s/it]2026-04-04 18:17:29,603 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:17:29,603 INFO [211/300] sphinx-doc__sphinx-7686 - patch_len=724, elapsed=4.3s
Running inference:  70%|███████   | 211/300 [50:08<18:51, 12.72s/it]2026-04-04 18:17:38,708 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:17:38,708 INFO [212/300] sphinx-doc__sphinx-7738 - patch_len=1782, elapsed=9.1s
Running inference:  71%|███████   | 212/300 [50:17<17:03, 11.63s/it]2026-04-04 18:17:45,572 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:17:45,573 INFO [213/300] sphinx-doc__sphinx-7975 - patch_len=1380, elapsed=6.9s
Running inference:  71%|███████   | 213/300 [50:24<14:47, 10.20s/it]2026-04-04 18:18:13,733 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:18:13,734 INFO [214/300] sphinx-doc__sphinx-8273 - patch_len=1269, elapsed=28.2s
Running inference:  71%|███████▏  | 214/300 [50:52<22:20, 15.59s/it]2026-04-04 18:18:21,050 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:18:21,050 INFO [215/300] sphinx-doc__sphinx-8282 - patch_len=1075, elapsed=7.3s
Running inference:  72%|███████▏  | 215/300 [51:00<18:34, 13.11s/it]2026-04-04 18:19:35,228 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:19:35,228 INFO [216/300] sphinx-doc__sphinx-8435 - patch_len=16642, elapsed=74.2s
Running inference:  72%|███████▏  | 216/300 [52:14<44:00, 31.43s/it]2026-04-04 18:19:39,667 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:19:39,667 INFO [217/300] sphinx-doc__sphinx-8474 - patch_len=771, elapsed=4.4s
Running inference:  72%|███████▏  | 217/300 [52:18<32:16, 23.33s/it]2026-04-04 18:19:54,096 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:19:54,097 INFO [218/300] sphinx-doc__sphinx-8506 - patch_len=1270, elapsed=14.4s
Running inference:  73%|███████▎  | 218/300 [52:33<28:14, 20.66s/it]2026-04-04 18:19:57,369 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:19:57,370 INFO [219/300] sphinx-doc__sphinx-8595 - patch_len=480, elapsed=3.3s
Running inference:  73%|███████▎  | 219/300 [52:36<20:51, 15.44s/it]2026-04-04 18:20:05,497 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:05,498 INFO [220/300] sphinx-doc__sphinx-8627 - patch_len=1333, elapsed=8.1s
Running inference:  73%|███████▎  | 220/300 [52:44<17:39, 13.25s/it]2026-04-04 18:20:11,596 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:11,596 INFO [221/300] sphinx-doc__sphinx-8713 - patch_len=1245, elapsed=6.1s
Running inference:  74%|███████▎  | 221/300 [52:50<14:37, 11.10s/it]2026-04-04 18:20:21,080 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:21,081 INFO [222/300] sphinx-doc__sphinx-8721 - patch_len=1978, elapsed=9.5s
Running inference:  74%|███████▍  | 222/300 [53:00<13:48, 10.62s/it]2026-04-04 18:20:25,640 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:25,640 INFO [223/300] sphinx-doc__sphinx-8801 - patch_len=868, elapsed=4.6s
Running inference:  74%|███████▍  | 223/300 [53:04<11:17,  8.80s/it]2026-04-04 18:20:36,509 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:36,509 INFO [224/300] sympy__sympy-11400 - patch_len=2337, elapsed=10.9s
Running inference:  75%|███████▍  | 224/300 [53:15<11:56,  9.42s/it]2026-04-04 18:20:46,176 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:46,176 INFO [225/300] sympy__sympy-11870 - patch_len=1496, elapsed=9.7s
Running inference:  75%|███████▌  | 225/300 [53:25<11:52,  9.49s/it]2026-04-04 18:20:51,061 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:51,062 INFO [226/300] sympy__sympy-11897 - patch_len=925, elapsed=4.9s
Running inference:  75%|███████▌  | 226/300 [53:30<10:00,  8.11s/it]2026-04-04 18:20:57,161 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:20:57,161 INFO [227/300] sympy__sympy-12171 - patch_len=1054, elapsed=6.1s
Running inference:  76%|███████▌  | 227/300 [53:36<09:08,  7.51s/it]2026-04-04 18:21:33,182 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:21:33,188 INFO [228/300] sympy__sympy-12236 - patch_len=9690, elapsed=36.0s
Running inference:  76%|███████▌  | 228/300 [54:12<19:16, 16.06s/it]2026-04-04 18:21:38,390 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:21:38,392 INFO [229/300] sympy__sympy-12419 - patch_len=1253, elapsed=5.2s
Running inference:  76%|███████▋  | 229/300 [54:17<15:09, 12.81s/it]2026-04-04 18:21:41,164 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:21:41,164 INFO [230/300] sympy__sympy-12454 - patch_len=389, elapsed=2.8s
Running inference:  77%|███████▋  | 230/300 [54:20<11:25,  9.80s/it]2026-04-04 18:22:38,451 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:22:44,225 INFO [231/300] sympy__sympy-12481 - patch_len=12772, elapsed=63.1s
Running inference:  77%|███████▋  | 231/300 [55:23<29:38, 25.78s/it]2026-04-04 18:23:20,350 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:23:20,350 INFO [232/300] sympy__sympy-13031 - patch_len=7413, elapsed=36.1s
Running inference:  77%|███████▋  | 232/300 [55:59<32:43, 28.88s/it]2026-04-04 18:24:25,996 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:24:25,997 INFO [233/300] sympy__sympy-13043 - patch_len=16425, elapsed=65.6s
Running inference:  78%|███████▊  | 233/300 [57:05<44:33, 39.91s/it]2026-04-04 18:24:30,995 INFO Retrying request to /chat/completions in 0.416034 seconds
2026-04-04 18:25:23,105 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:25:23,106 INFO [234/300] sympy__sympy-13146 - patch_len=10307, elapsed=57.1s
Running inference:  78%|███████▊  | 234/300 [58:02<49:34, 45.07s/it]2026-04-04 18:25:40,302 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:25:40,303 INFO [235/300] sympy__sympy-13177 - patch_len=3477, elapsed=17.2s
Running inference:  78%|███████▊  | 235/300 [58:19<39:46, 36.71s/it]2026-04-04 18:25:42,232 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:25:42,234 INFO [236/300] sympy__sympy-13437 - patch_len=243, elapsed=1.9s
Running inference:  79%|███████▊  | 236/300 [58:21<28:01, 26.27s/it]2026-04-04 18:26:05,041 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:26:05,042 INFO [237/300] sympy__sympy-13471 - patch_len=5112, elapsed=22.8s
Running inference:  79%|███████▉  | 237/300 [58:44<26:29, 25.23s/it]2026-04-04 18:26:13,956 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:26:13,956 INFO [238/300] sympy__sympy-13480 - patch_len=368, elapsed=8.9s
Running inference:  79%|███████▉  | 238/300 [58:53<21:01, 20.34s/it]2026-04-04 18:26:51,117 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:26:51,118 INFO [239/300] sympy__sympy-13647 - patch_len=8676, elapsed=37.2s
Running inference:  80%|███████▉  | 239/300 [59:30<25:48, 25.39s/it]2026-04-04 18:27:46,495 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:27:46,497 INFO [240/300] sympy__sympy-13773 - patch_len=17127, elapsed=55.4s
Running inference:  80%|████████  | 240/300 [1:00:25<34:23, 34.38s/it]2026-04-04 18:27:56,629 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:27:56,630 INFO [241/300] sympy__sympy-13895 - patch_len=2186, elapsed=10.1s
Running inference:  80%|████████  | 241/300 [1:00:35<26:39, 27.11s/it]2026-04-04 18:28:22,046 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:28:22,047 INFO [242/300] sympy__sympy-13915 - patch_len=5452, elapsed=25.4s
Running inference:  81%|████████  | 242/300 [1:01:01<25:42, 26.60s/it]2026-04-04 18:28:26,412 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:28:26,413 INFO [243/300] sympy__sympy-13971 - patch_len=972, elapsed=4.4s
Running inference:  81%|████████  | 243/300 [1:01:05<18:56, 19.93s/it]2026-04-04 18:28:37,666 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:28:37,667 INFO [244/300] sympy__sympy-14024 - patch_len=2378, elapsed=11.3s
Running inference:  81%|████████▏ | 244/300 [1:01:16<16:10, 17.33s/it]2026-04-04 18:29:42,531 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:29:42,533 INFO [245/300] sympy__sympy-14308 - patch_len=11242, elapsed=64.9s
Running inference:  82%|████████▏ | 245/300 [1:02:21<28:57, 31.59s/it]2026-04-04 18:29:45,090 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:29:45,090 INFO [246/300] sympy__sympy-14317 - patch_len=653, elapsed=2.6s
Running inference:  82%|████████▏ | 246/300 [1:02:24<20:35, 22.88s/it]2026-04-04 18:29:48,349 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:29:48,350 INFO [247/300] sympy__sympy-14396 - patch_len=467, elapsed=3.3s
Running inference:  82%|████████▏ | 247/300 [1:02:27<15:00, 16.99s/it]2026-04-04 18:29:50,975 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:29:50,975 INFO [248/300] sympy__sympy-14774 - patch_len=279, elapsed=2.6s
Running inference:  83%|████████▎ | 248/300 [1:02:30<10:59, 12.68s/it]2026-04-04 18:29:53,941 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:29:53,942 INFO [249/300] sympy__sympy-14817 - patch_len=409, elapsed=3.0s
Running inference:  83%|████████▎ | 249/300 [1:02:33<08:18,  9.77s/it]2026-04-04 18:30:01,940 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:30:01,941 INFO [250/300] sympy__sympy-15011 - patch_len=1624, elapsed=8.0s
Running inference:  83%|████████▎ | 250/300 [1:02:41<07:41,  9.24s/it]2026-04-04 18:30:06,498 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:30:06,499 INFO [251/300] sympy__sympy-15308 - patch_len=958, elapsed=4.6s
Running inference:  84%|████████▎ | 251/300 [1:02:45<06:23,  7.83s/it]2026-04-04 18:30:09,671 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:30:09,672 INFO [252/300] sympy__sympy-15345 - patch_len=530, elapsed=3.2s
Running inference:  84%|████████▍ | 252/300 [1:02:48<05:08,  6.44s/it]2026-04-04 18:30:52,577 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:30:52,577 INFO [253/300] sympy__sympy-15346 - patch_len=3905, elapsed=42.9s
Running inference:  84%|████████▍ | 253/300 [1:03:31<13:36, 17.38s/it]2026-04-04 18:31:47,045 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:31:47,046 INFO [254/300] sympy__sympy-15609 - patch_len=12788, elapsed=54.5s
Running inference:  85%|████████▍ | 254/300 [1:04:26<21:51, 28.50s/it]2026-04-04 18:31:51,749 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:31:51,750 INFO [255/300] sympy__sympy-15678 - patch_len=852, elapsed=4.7s
Running inference:  85%|████████▌ | 255/300 [1:04:30<16:01, 21.36s/it]2026-04-04 18:31:56,039 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:31:56,040 INFO [256/300] sympy__sympy-16106 - patch_len=414, elapsed=4.3s
Running inference:  85%|████████▌ | 256/300 [1:04:35<11:54, 16.24s/it]2026-04-04 18:32:21,806 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:32:21,807 INFO [257/300] sympy__sympy-16281 - patch_len=4403, elapsed=25.8s
Running inference:  86%|████████▌ | 257/300 [1:05:00<13:41, 19.10s/it]2026-04-04 18:32:56,902 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:32:56,903 INFO [258/300] sympy__sympy-16503 - patch_len=9494, elapsed=35.1s
Running inference:  86%|████████▌ | 258/300 [1:05:36<16:43, 23.90s/it]2026-04-04 18:34:00,958 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:34:00,960 INFO [259/300] sympy__sympy-16792 - patch_len=20031, elapsed=64.1s
Running inference:  86%|████████▋ | 259/300 [1:06:40<24:33, 35.95s/it]2026-04-04 18:34:34,479 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:34:34,480 INFO [260/300] sympy__sympy-16988 - patch_len=7027, elapsed=33.5s
Running inference:  87%|████████▋ | 260/300 [1:07:13<23:28, 35.22s/it]2026-04-04 18:35:38,742 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:35:38,742 INFO [261/300] sympy__sympy-17022 - patch_len=13382, elapsed=64.3s
Running inference:  87%|████████▋ | 261/300 [1:08:17<28:33, 43.93s/it]2026-04-04 18:35:48,806 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:35:48,806 INFO [262/300] sympy__sympy-17139 - patch_len=2530, elapsed=10.1s
Running inference:  87%|████████▋ | 262/300 [1:08:27<21:23, 33.77s/it]2026-04-04 18:35:58,757 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:35:58,758 INFO [263/300] sympy__sympy-17630 - patch_len=568, elapsed=10.0s
Running inference:  88%|████████▊ | 263/300 [1:08:37<16:25, 26.63s/it]2026-04-04 18:37:00,290 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:00,290 INFO [264/300] sympy__sympy-17655 - patch_len=13193, elapsed=61.5s
Running inference:  88%|████████▊ | 264/300 [1:09:39<22:15, 37.10s/it]2026-04-04 18:37:02,544 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:02,545 INFO [265/300] sympy__sympy-18057 - patch_len=361, elapsed=2.3s
Running inference:  88%|████████▊ | 265/300 [1:09:41<15:32, 26.64s/it]2026-04-04 18:37:08,139 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:08,140 INFO [266/300] sympy__sympy-18087 - patch_len=1186, elapsed=5.6s
Running inference:  89%|████████▊ | 266/300 [1:09:47<11:31, 20.33s/it]2026-04-04 18:37:14,059 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:14,060 INFO [267/300] sympy__sympy-18189 - patch_len=1361, elapsed=5.9s
Running inference:  89%|████████▉ | 267/300 [1:09:53<08:48, 16.01s/it]2026-04-04 18:37:28,819 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:28,820 INFO [268/300] sympy__sympy-18199 - patch_len=1263, elapsed=14.8s
Running inference:  89%|████████▉ | 268/300 [1:10:08<08:20, 15.63s/it]2026-04-04 18:37:35,066 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:35,067 INFO [269/300] sympy__sympy-18532 - patch_len=1433, elapsed=6.2s
Running inference:  90%|████████▉ | 269/300 [1:10:14<06:37, 12.82s/it]2026-04-04 18:37:45,530 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:45,532 INFO [270/300] sympy__sympy-18621 - patch_len=2328, elapsed=10.5s
Running inference:  90%|█████████ | 270/300 [1:10:24<06:03, 12.11s/it]2026-04-04 18:37:50,957 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:50,958 INFO [271/300] sympy__sympy-18698 - patch_len=1152, elapsed=5.4s
Running inference:  90%|█████████ | 271/300 [1:10:30<04:53, 10.11s/it]2026-04-04 18:37:59,121 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:37:59,122 INFO [272/300] sympy__sympy-18835 - patch_len=1281, elapsed=8.2s
Running inference:  91%|█████████ | 272/300 [1:10:38<04:26,  9.52s/it]2026-04-04 18:38:05,450 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:05,450 INFO [273/300] sympy__sympy-19007 - patch_len=1358, elapsed=6.3s
